station_key,station_id,station_name,total_start_count,total_end_count,latitude,longitude,full_address
62834a9008f45463454d55a27b8f1b45,303,"Albert Gate, Hyde Park",453647,457339,,,
36d42f6ec87ed5ad4b1240f21d3824cb,1132,"Albert Gate, Hyde Park",7461,7374,,,
85f0dff9f19ada54d49520573a221d19,300023,"All Saints Church, Portobello",3652,3540,,,
a9931c2a51688440162dee5fec630d5f,661,"All Saints Church, Portobello",136066,134444,,,
5d7299198ff4a8570aa41557ed838236,826,"Allington street, Off Victoria Street, Westminster",146547,148049,,,
21fb791a140e0b76f0b72d39ec08cf4c,175,"Appold Street, Liverpool Street",95390,108444,,,
aae44154e9efaec884cd76a7b01a89ab,997,"Appold Street, Liverpool Street",4016,4657,,,
7b33d7af92552eb97bbe0e4a8e080b27,785,"Aquatic Centre, Queen Elizabeth Olympic Park",300104,303083,,,
798ee2231c191e985315a6dad198a448,300233,"Aquatic Centre, Queen Elizabeth Olympic Park",6335,6493,,,
dc50d5adf9c5c708b41f8757375d9170,1157,"Black Lion Gate, Kensington Gardens",6575,6463,,,
aaff74cf6b5c0f13805905ca3547640d,307,"Black Lion Gate, Kensington Gardens",453141,445949,,,
400ae4e24ca1330768ba306ca217d3d9,502,"Bonner Gate, Victoria Park",74821,73813,,,
1ad5b4fa93e8b3f5a19acb664aae3732,200241,"Bonner Gate, Victoria Park",3619,3508,,,
e7b11fc7de66a711a3e4f1cc850dabfe,614,"Bradmead, Battersea Park",83736,81521,,,
adf1e990c199ba1c3229fa7c11379934,200025,"Bradmead, Battersea Park",6643,6543,,,
1fb0b09a71db965f0d4a8008ac007f8d,399,"Brick Lane Market, Shoreditch",124239,123479,,,
71acbde04b714c623f839f0847d3c8ca,2687,"Brick Lane Market, Shoreditch",2797,2879,,,
a0873c47108652ddf0534758cf732d8a,390,"Buxton Street 1, Shoreditch",53079,47347,,,
6a4e84f5cfc36f673b9b1ae2bb4b1a84,1223,"Buxton Street 1, Shoreditch",1206,1161,,,
5d17ab11b2ca6adb6d78d26d0a50f16a,200112,"Cadogan Close, Victoria Park",2471,2448,,,
663b06a351ef4acc839d102a7dcc30ec,692,"Cadogan Close, Victoria Park",124319,124386,,,
153f1c17238eaba82ca15f86afa54e00,395,"Cadogan Gardens, Sloane Square",123751,130011,,,
02302dbf680ba922efa4fab8e611737d,33,"Central House, Aldgate",111263,111480,,,
28f8e1d10413767543ab497cada7bb8c,3430,"Central House, Aldgate",1737,1776,,,
32d42a41fa148bdbb8468ca528972b54,768,"Clapham Common Northside, Clapham Common",108847,104247,,,
886c3a8ea37ff59467a36df7bbf37131,300245,"Clapham Road, Lingham Street, Stockwell",1211,1185,,,
8d3faffc64fc228f10904a375136f2d8,814,"Clapham Road, Lingham Street, Stockwell",49693,48654,,,
b8f666c4a94fb7238877797456b041df,528,"Clarges Street, West End",40847,44173,,,
4eb4cfc51f5e7f2bd6b840857fdc89a6,401,"Columbia Road, Weavers",122600,111094,,,
f614d4e6b325c9bae17e68e3a8e2e3c4,241,"Contact Centre, Southbury House",60,60,,,
184f965020e4e615f4602e123e03fe79,3000061,"Coomer Place, West Kensington_OLD",1675,1646,,,
39bae1d7f5eae58d7ab473938ccc7c1c,304,"Cumberland Gate, Hyde Park",46854,46602,,,
1649687f8cb49d555118e8ee56afe9e2,200222,"Danvers Street, West Chelsea",2385,2293,,,
4ba992555a3a34d24f8406017cffe2ca,610,"Danvers Street, West Chelsea",90516,89367,,,
4873c413247bc88bd72e82fcc6ed193f,244,"Earnshaw Street , Covent Garden",116702,121013,,,
871385a9f08cc615d0b21f9ddd8c2718,1145,"Earnshaw Street , Covent Garden",4399,4505,,,
8a9e036476b9f44659ba3542d66adfcb,413,Electrical Workshop PS,0,2,,,
55f63c3909c35c6203106656b93f2768,259,"Embankment (Horse Guards), Westminster",59273,60836,,,
c1f5ddd7b845c11252b390e038ddebfd,309,"Embankment (Savoy), Strand",99939,110974,,,
eb006dbced076f73207a6a074c6a7539,1192,"Embankment (Savoy), Strand",2247,2278,,,
fa39f7aecac64b70d8f2d2ee9a5b353b,300005,"Ethelburga Estate, Battersea Park",5369,5317,,,
d796f9d43b4c3e9e72d871191a13bfdf,658,"Ethelburga Estate, Battersea Park",180315,177957,,,
652cdb943c5c197aa35fbc42a24cb372,428,"Exhibition Road Museums, Knightsbridge",246833,269941,,,
d4d0003caa044e5390221aaea0aa94d3,432,"Exhibition Road Museums, Knightsbridge",137442,141196,,,
e657fb11d1cf32884603fac47e5eccb4,642,"Fawcett Close, Clapham Junction",31702,29581,,,
9d1aaba86753b65246dc72fea0786a6d,448,"Fishermans Walk West, Canary Wharf",96046,99118,,,
dae2b1d6f76a307cb932cef44cbee247,300222,"Fore Street Avenue, Guildhall",2118,2491,,,
06ec7dfc48c6e6f65d96ccbad45705ba,838,"Fore Street Avenue, Guildhall",29271,31281,,,
d4400768de4698d46a7225fcaf59ab9a,509,"Fore Street Avenue, Guildhall",72409,79098,,,
2e0201c8ab47b50447ee39de6b5a7115,834,"Gas Holders, Battersea Park",67777,68960,,,
4dbef4e6925e7b4831c4285e6abfc43e,300216,"Gas Holders, Battersea Park",5298,5302,,,
dd8dc4ea9ce99ac721699fa5a5797c8b,534,"Goldsmith's Row, Haggerston",119837,109018,,,
c8aa002e21d2ad79849b3068ea5418ac,200159,"Goldsmith's Row, Haggerston",3970,3607,,,
249b8248b624c909a94fd156cef9a612,969,"Gower Place , Euston",2793,2778,,,
5397edd81a265d4544fc610e8711aa9d,65,"Gower Place , Euston",68327,62247,,,
26c0e9c3f4161f3e3fbdd65abf7430b6,22174,"Granby Street, Shoreditch",3794,3591,,,
45f27368722e73abd245aa67e0af515f,486,"Granby Street, Shoreditch",137800,127608,,,
c940e518638a5a3d25116d912d417d7f,672,"Grant Road Central, Clapham Junction",2952,5801,,,
53fac90c43baa923b53411e90503c00d,200206,"Grant Road Central, Clapham Junction",566,614,,,
86eaf459df892773f8d148dec3af49bb,659,"Grant Road West, Clapham Junction",59013,61679,,,
deae5bd2d76eeb5d9f65b80de2699789,200212,"Grant Road West, Clapham Junction",5260,5419,,,
196873dea3948d1e1849f61e60f5ce2b,300067,"Grenfell Road, Avondale",1361,1322,,,
0f021355374f5cc3ddc2b0bbbdac2069,754,"Grenfell Road, Avondale",33001,32749,,,
12bcc12814bf26b319ac2fe3e96adf4f,459,"Gun Makers Lane, Old Ford",99373,96795,,,
ebc9b947ad5a027d59190192a611261a,21,"Hampstead Road (Cartmel), Euston",33530,29171,,,
4e31aac7e3ffe38077ed47a622f9615b,3426,"Hampstead Road (Cartmel), Euston",2425,2373,,,
890196fdafd58914507f3030fc10ce57,527,"Hansard Mews, Shepherds Bush",59912,64367,,,
d823126b6b0dd93b9dbf64976be7f9a0,812,"Here East North, Queen Elizabeth Olympic Park",37053,38135,,,
fd27f004f2862f923a3137ef183abd14,300217,"Here East North, Queen Elizabeth Olympic Park",763,793,,,
8136df85bcac2ef38d26fc694693838f,300219,"Here East South, Queen Elizabeth Olympic Park",362,348,,,
9ed569bccc564036bcf8d77cda0fd530,816,"Here East South, Queen Elizabeth Olympic Park",22477,23154,,,
7a05238ec56b013d61451a6dc227cc95,150,"Holy Trinity Brompton, Knightsbridge",100861,110602,,,
4c149bf054e6e1a281ddc6a9313388a6,1002,"Holy Trinity Brompton, Knightsbridge",3001,3304,,,
1244a663c3b03d6608eafa63f0cef642,619,"Irene Road, Parsons Green",64844,62456,,,
e8aa85aae93165a770f609dc38d5e209,300012,"Irene Road, Parsons Green",1874,1763,,,
09d0f499cdc190cffd860be96281f016,305,"Kennington Lane Tesco, Vauxhall",36382,39227,,,
156cc15dfa55ab3e69d37639eb877b43,1168,"Kennington Lane Tesco, Vauxhall",159,177,,,
253b7136f729bcfd1076fee472869cf3,439,"Killick Street, Kings Cross",38836,34701,,,
24bbc0665468893b471f3e609b5e7f75,594,"Kingsway Southbound, Strand",91389,101237,,,
8afb0b29699792f49aca1d10f570fac1,200226,"Kingsway Southbound, Strand",2958,3384,,,
5db663490fd33f9dad5d9b207b16f226,823,LSP1,2,7,,,
fb6eafc539bd493ac7c3c8a801470ace,825,LSP2,7,5,,,
e8639bac3eb955c0ade0accb2335786d,21,"Lansdown Drive, Hackney Central",33530,29171,,,
0afcbecd6827f0baa45b4e37f9e958e5,300204,"Lansdowne Way Bus Garage, Stockwell",1835,1703,,,
072a9636171db15fed4d1768623d27a9,794,"Lansdowne Way Bus Garage, Stockwell",32293,32749,,,
405b26e9d4388e4fe3d8519acdb7bfb8,300029,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",1365,1396,,,
c7106bf92c98d4ac0fc28641f915ce47,786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",92091,90326,,,
4b5d799b868f1cc7e2bb2341525dc840,777,"Limburg Road, Clapham Common",25696,25306,,,
f86252745c867ac03072093025e55d44,200025,"London Fields, Hackney Central",6643,6543,,,
fa3d60427e30406f329143099a7fc0ad,614,"London Fields, Hackney Central",83736,81521,,,
44069c8dfc673f1311460b20ae3187d9,343,"London Zoo Car Park, Regent's Park",82876,78013,,,
e96f3511bdb3d4675334d0a256b77bc5,343,"London Zoo Car Park, The Regent's Park",82876,78013,,,
b40078cbe40ad5579ddb000dac2d4313,1188,"London Zoo Car Park, The Regent's Park",1310,1205,,,
262f06c9fe7599820e89e20d2eb45440,1136,"London Zoo,  The Regent's Park",1315,1193,,,
763fd219fbdfa1ac62a7b0cc66ef69d2,271,"London Zoo,  The Regent's Park",83180,81595,,,
3a22a7a595ebd41a9efcf122b4ffee7a,271,"London Zoo, Regents Park",83180,81595,,,
56b2d67ff005154e8e569b6ba2242aec,1226,"Macclesfield Rd, St Lukes",5070,4127,,,
4118525d758ccf2c7abd2524ed2e5f87,351,"Macclesfield Rd, St Lukes",111672,89915,,,
bf697c9c1203bb400bee17be267a7bfb,300079,"Manfred Road, East Putney",5529,4869,,,
4125b07e0696d997fabc7f2e378e0972,752,"Manfred Road, East Putney",20186,17404,,,
4d219e6cfe8969911fe3aaccc72e0eae,22168,Mechanical Workshop Clapham,0,36,,,
cca8d5aa968e99f5417d0b3db4b38661,434,Mechanical Workshop Clapham,0,741,,,
0f1819a30dd54d420c34c4c01f9fdf8f,346,Mechanical Workshop Penton,388,688,,,
891a357019b65022f39b81369c3a440b,10626,Mechanical Workshop Penton,4,36,,,
bed4ee18d6abc710bf23e68411900d8f,376,"Millbank House, Pimlico",124024,125142,,,
94db5f218c73f8698a74b0132a5e6cc0,195,"Milroy Walk, South Bank",146131,147602,,,
22b22bd0434903cc397c8f17ac06f38f,959,"Milroy Walk, South Bank",3318,3366,,,
04b54b60947f4eac4858e77d00e3ad9c,783,"Monier Road, Newham",90733,91382,,,
b486a7019fa2e3c12743b59d7517f700,567,PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY,1,11,,,
fccebf2e72d185f44610ff3aee98ac8f,408,"Paddington Green Police Station, Paddington",43835,39637,,,
62615fc6f985932584bcf93b84fde70c,1129,"Paddington Green Police Station, Paddington",4117,4416,,,
5ce7fae661bc9e71b010c280c8751558,233,"Pall Mall East, West End",167947,193964,,,
9b18c83e6dc07a74b741065930ac13b6,1153,"Pall Mall East, West End",3143,4208,,,
03d8ccc46c9c9a601002a736da2d6b25,114,"Park Road (Baker Street), Regent's Park",150392,147940,,,
88a6b8c1ca4ffbb7eaf13b76d6f76515,114,"Park Road (Baker Street), The Regent's Park",150392,147940,,,
93784fea74930afb0ffc75c0890f751a,1050,"Park Road (Baker Street), The Regent's Park",4199,4105,,,
5091c2143261fc58b97c469571e22f2e,300052,"Parsons Green Station, Parsons Green",3756,3610,,,
e1975d03f5334f2218c72131331ccd40,671,"Parsons Green Station, Parsons Green",135208,131293,,,
75ce7b3964005f17e2c44157729e1f72,300021,"Podium, Queen Elizabeth Olympic Park",961,976,,,
51c08c65d79c3f6d4f66695c59c18046,789,"Podium, Queen Elizabeth Olympic Park",138630,141415,,,
3988dee33a29052dfca051bcf82be971,778,Pop Up Dock 1,127,111,,,
cb1be5055c69e68371473116d769892a,3456,"Portugal Street, Holborn",1635,1696,,,
66b460728a4d8acaf4bf11c3a97a5a06,147,"Portugal Street, Holborn",17063,17622,,,
7d94552533341793536ce30b80067b21,491,"Queen Marys, Mile End",101623,96809,,,
ae202c46f0d71e0340d2eeef29361dff,200190,"Queen's Circus, Battersea Park",4082,4106,,,
6a706a3a687f1b03c7d12ef654728689,625,"Queen's Circus, Battersea Park",192640,189750,,,
c1f10e0144705aa4cb860180b26796ea,1204,"Queen's Gate (North), Kensington",3582,3858,,,
2db2fd45f3945dd60e15f03244b21f36,266,"Queen's Gate (North), Kensington",108391,107900,,,
d6bbc9b276c63b942b999479f880bcb5,736,"Queensdale Road, Shepherd's Bush",32657,33650,,,
9d2ba137162205b69fdecfd1e06c7f4b,300088,"Queensdale Road, Shepherd's Bush",962,1022,,,
d4b89ef8fd55f3da742085e213bcac6b,1150,"Queensway, Kensington Gardens",5074,4952,,,
2663ffc7a263d4e1f6d61f3e0ec902a5,224,"Queensway, Kensington Gardens",135518,135146,,,
b4cec370913946473ce88409da036d7e,1026,"Roscoe Street, St. Luke's",2668,2622,,,
122db435daed4c3b86a5a82f12cd6a29,52,"Roscoe Street, St. Luke's",95714,97554,,,
7238d300824f2121892ce4768e50a748,515,"Russell Gardens, Holland Park",42296,39759,,,
3299485935f3c47ef047e55a20a30f27,441,"Sail Street, Vauxhall",61643,56993,,,
9041f3e8b3015764377ec7e2f2d87ed0,200039,"Sail Street, Vauxhall",1811,1732,,,
18e60c23f4de52b255fe5bd0ac754177,2649,"Sardinia Street, Holborn",2546,2731,,,
b6300d583badb3c1965db9b6f4882946,372,"Sardinia Street, Holborn",86359,90097,,,
26b4b4e1650841d2a3806cd867e2d7fb,200144,"Sea Containers, South Bank",4100,4166,,,
b5014476a0e22f80d314dcb91dd8ec4b,839,"Sea Containers, South Bank",68013,69283,,,
f2d5d0e3233d97b87d31cfdae5e797a4,300,"Serpentine Car Park, Hyde Park",275186,276177,,,
d63db1efe81113244cec359f515297b9,1217,"Serpentine Car Park, Hyde Park",4986,4981,,,
25612e3eadc2625330fcbeed992e5b38,502,"South Quay West, Canary Wharf",74821,73813,,,
cbd4b4af6959be32785a483ca5a424cf,407,"Speakers' Corner 1, Hyde Park",85835,85884,,,
3ea415bfbacdb777529a09d9504806ed,406,"Speakers' Corner 2, Hyde Park",67010,66371,,,
1688097740048d22c6e2c34e2a4bc1fb,452,"St Katharines Way, Tower",101994,98868,,,
c37425fa3520cacff7520aae7121b741,604,"St Martins Close, Camden Town",41395,36787,,,
3ccb4a7aaafb37ab146f8e2a53be0ebe,200195,"St Martins Close, Camden Town",1072,925,,,
cc73b2c2a0935d4ae55395711e9ef7f2,1091,"St. John's Wood Church, The Regent's Park",2608,1725,,,
bcc123ced063aad57bc8758458c01e9c,247,"St. John's Wood Church, The Regent's Park",77444,61337,,,
2f402a0552da4476cc444ecf223911af,300207,"Stockwell Roundabout, Stockwell",3793,3737,,,
3a94d40eb711c150da944cceb3b8ea5d,808,"Stockwell Roundabout, Stockwell",45543,47261,,,
5332ed79ec2b9167696ce6953e7d53ca,315,"The Tennis Courts, Regent's Park",112455,112025,,,
ef5e6168aaddd1a1c740a1cb0ee7f6f9,315,"The Tennis Courts, The Regent's Park",112455,112025,,,
94b36e85a74f8770bd92c2ff9e08f5e1,1199,"The Tennis Courts, The Regent's Park",2043,2032,,,
c08920b7b11d439200ae8bb077394153,755,"The Vale, West Chelsea",129349,130758,,,
d0e55e67dacc8a9b14ec29a5e524ffc9,725,"Thessaly Road North, Nine Elms",66180,64531,,,
4f56e2a033268f4306f340b15608e22a,725,"Thessaly Road North, Wandsworth Road",66180,64531,,,
258e3205ac0c31909d8e1277ed5ef880,300050,"Thessaly Road North, Wandsworth Road",3690,3668,,,
7789685e97d0507f09fbd16bc6a91c2c,787,"Timber Lodge, Queen Elizabeth Olympic Park",92668,92014,,,
efd3a457337a783082102b932e67b399,300227,"Timber Lodge, Queen Elizabeth Olympic Park",1678,1669,,,
1aa9f598f26c9376ad9ebb875fa1530a,248,"Triangle Car Park, Hyde Park",349696,346536,,,
9ddbe1b664c0eaad7a0fe82fceb46ee8,1088,"Triangle Car Park, Hyde Park",3337,3087,,,
9fbe249a4040e81dcb47bc097a5857a0,200116,"Vereker Road North, West Kensington",3443,3343,,,
42ed59d606facc31db97e0aa2d256a79,633,"Vereker Road North, West Kensington",102180,98479,,,
b63fe8a7de761e2aa51561a7226fc33b,91,"Walnut Tree Walk, Vauxhall",81123,71397,,,
f59e284e4f0098cd7b5023d95f21efca,1076,"Walnut Tree Walk, Vauxhall",3040,2936,,,
b13e66b3b667a5ac0921899b46f2f6e0,200175,"Wandsworth Rd, Isley Court, Wandsworth Road",1906,1791,,,
df2e14e0bbf9d6970b6a5cda81f346bb,612,"Wandsworth Rd, Isley Court, Wandsworth Road",81835,76860,,,
170328a4b7bfd888a911ed30f76d8fd7,173,"Waterloo Roundabout, Waterloo",97063,99148,,,
b00b72af945183265c32ce120624bf12,213,"Wellington Arch, Hyde Park",387180,382637,,,
9f7b57b53fcff9103b46d99c42e7124d,1109,"Wellington Arch, Hyde Park",5709,5717,,,
098948d0c925395f4574bc57aa3a2d82,1040,"West Smithfield Rotunda, Farringdon",3881,3987,,,
ec11ce36e37594c3d7963e720e81851c,203,"West Smithfield Rotunda, Farringdon",152649,158846,,,
1aa893555841b45b46b3d3360c728b78,566,"Westfield Ariel Way, White City",66585,73097,,,
881eebfafe1661a190181534f264a6f6,200141,"Westfield Ariel Way, White City",3418,3776,,,
e13bc48e8eb621c6946d427153136a6a,200245,"Westfield Eastern Access Road, Shepherd's Bush",14,16,,,
10a04909209d0ac7f017b7354f98d369,555,"Westfield Eastern Access Road, Shepherd's Bush",764,1677,,,
07d1bac49b630f4450c1d75e5d3e633b,591,"Westfield Library Corner, Shepherd's Bush",56981,59298,,,
152a6aa35661df0b2e65bb1fc28f43a3,1151,"Whitehall Place, Strand",5369,7207,,,
9bea46b83ae384b614a1c5de4782ce87,229,"Whitehall Place, Strand",252777,280219,,,
d823b4a46ac3940cc36e292de738d76d,1150,"Whiteley's, Bayswater",5074,4952,,,
c02058e32e0650f38a4cb10f4d8f1940,224,"Whiteley's, Bayswater",135518,135146,,,
d3e6965b43a399334be7da3dbdc200fb,0,"Earnshaw Street , Covent Garden",0,8178,,,
